PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
261,179,65,6,15,54,12
NA,NA,NA,NA,NA,44,9
178,NA,61,8,6,43,NA
243,122,59,3,8,86,7
291,165,205,21,NA,71,5
238,140,90,14,25,54,30
209,143,34,NA,NA,84,17
NA,NA,NA,NA,NA,52,12
NA,NA,NA,NA,NA,98,2
285,165,43,16,15,79,NA
270,NA,49,NA,15,51,28
232,131,47,10,7,39,18
244,138,52,12,NA,40,18
280,153,48,17,19,48,7
NA,NA,NA,NA,NA,54,16
258,146,52,10,21,67,10
238,145,23,18,5,48,6
247,141,68,9,23,67,8
252,133,51,13,17,49,10
161,118,55,NA,NA,38,21
143,134,69,5,17,46,24
290,NA,29,15,6,56,8
303,NA,103,NA,18,67,3
244,166,55,6,6,51,17
294,177,45,12,13,71,25
222,114,54,10,11,52,16
294,163,15,10,30,58,17
316,193,25,13,11,97,10
221,116,37,6,12,61,13
296,173,56,9,27,92,65
281,147,45,9,14,51,9
193,128,5,NA,NA,71,34
298,167,53,17,18,68,19
226,130,65,NA,NA,3,10
271,141,28,5,6,75,30
NA,NA,NA,NA,NA,44,4
260,174,65,6,15,58,14
NA,NA,NA,NA,NA,51,11
182,NA,63,8,6,48,NA
249,123,60,3,7,91,7
289,162,205,22,NA,74,5
242,140,91,14,25,56,31
222,140,34,NA,NA,86,17
NA,NA,NA,NA,NA,52,12
NA,NA,NA,NA,NA,101,3
284,163,44,16,15,84,NA
265,NA,50,NA,14,51,21
227,127,49,10,7,39,20
242,138,52,12,NA,40,21
281,152,49,17,19,49,9
NA,NA,NA,NA,NA,53,18
263,147,51,10,21,67,13
241,145,23,18,5,50,5
252,142,70,9,23,73,7
253,132,52,13,17,52,10
164,119,56,NA,NA,39,19
144,134,69,5,17,48,24
291,NA,30,15,6,60,10
303,NA,102,NA,17,66,4
246,166,55,6,6,52,18
293,176,46,12,14,76,28
228,115,53,10,11,53,21
296,163,15,10,30,63,18
318,193,25,13,11,101,10
132,118,18,NA,43,55,24
66,76,23,1,5,33,32
345,194,30,2,54,79,5
232,193,46,9,14,87,9
120,113,22,NA,57,36,24
NA,NA,NA,NA,NA,NA,NA
265,162,31,2,88,64,5
143,155,80,16,10,30,20
69,86,16,NA,43,39,24
NA,NA,NA,NA,NA,7,48
261,194,27,2,92,83,5
81,105,67,14,11,28,14
71,90,17,NA,47,37,24
NA,NA,NA,NA,NA,27,52
NA,NA,NA,NA,NA,18,50
